FID,IID,Gender,Body_weight,Total_length,Body_length,Head_length,Body_height,Body_width
WR,53,Female,269.9,231,192,46,81,40
WR,54,Female,227.8,214,182,41,76,35
WR,55,Female,253.2,215,182,42,77,41
WR,56,Female,246.9,230,194,46,78,39
WR,57,Female,183.9,221,182,43,76,31
WR,58,Female,397.6,251,212,51,93,45
WR,59,Female,326.4,251,201,46,82,40
WR,60,Female,192.4,200.3,173,39,70,35
WR,61,Female,274.2,241,205,54,81,38.5
WR,62,Female,313.2,233,194,47,85,43
WR,63,Female,153.7,185,157,42,67,33
WR,64,Female,360.2,251,205,47,85,49
WR,65,Female,268.4,234.5,196,47,83,43
WR,66,Female,285.2,232,192,47,82,43
WR,67,Female,275.1,240.1,203,47,76,39.8
WR,68,Female,227.4,208,182,41,76,40
WR,69,Female,292.9,227,192,47,84,42
WR,70,Female,239.8,232,193,42,81,37
WR,71,Female,274.2,233,194,46,84,39
WR,72,Female,245.1,220,181,42,83,36
WR,73,Female,216.7,234,193,44,80,39
WR,74,Female,247.8,227,184,46,79,41
WR,75,Female,242.8,223,192,46,77,37
WR,76,Female,199.5,214,178,45,76,33
WR,77,Female,218.1,208,171,39,78,41
WR,78,Female,170.2,201,169,39,67,35
WR,79,Female,251.1,226,187,45,84,39
WR,80,Female,198.2,205,171,44,74,33
WR,81,Female,217.1,232,192,46,80,35
WR,82,Female,238.3,225,186,45,79,39
WR,83,Female,252.6,235,197,51,79,42
WR,84,Female,246.1,229,192,47,79,38
WR,85,Female,306.6,232,186,47,86,42
WR,86,Female,245.6,232,192,43,77,39
WR,87,Female,247.7,219,185,42,77,38
WR,88,Female,148.3,198,163,39,70,30
WR,89,Female,290.2,236,196,49,82,40
WR,90,Female,322,243,196,47,84,45
WR,91,Female,282,225,192,43,82,38
WR,92,Female,302.1,231,194,45,82,41
WR,93,Female,131.8,192,160,39,65,34
WR,94,Female,262.9,226,185,42,78,40
WR,95,Female,233,228,182,47,73,38
WR,96,Female,233.7,218,162,41,85,42
WR,97,Female,224.7,214,182,43,78,39
WR,98,Female,191.5,227,187,44,76,41
WR,99,Female,272.1,252,205,54,83,46
WR,100,Female,305,239,196,49,82,40
WR-II,1,Female,88,180,143,45.1,59.3,33
WR-II,2,Female,191.8,235.1,176.2,57.3,82.3,38.3
WR-II,3,Female,206.6,206.3,180.1,45.7,75.2,38.1
WR-II,4,Female,203.2,225.2,178.1,46.2,78.1,38.9
WR-II,5,Female,179.8,205.2,164.3,39.2,79.9,40.3
WR-II,6,Female,183.2,218.6,175.4,43.5,76.3,33.5
WR-II,7,Male,171.2,210.3,173.1,40.1,75.9,34.4
WR-II,8,Male,170.7,215.3,173.2,44.1,76.5,35.1
WR-II,9,Female,301.4,254.5,203.5,49.1,92.5,40.5
WR-II,10,Female,176.6,185.3,160.7,39.8,70.5,38.5
WR-II,11,Female,192.4,210.3,175.4,45.1,75.1,36.2
WR-II,12,Female,211.1,235.6,184.3,49.2,77.1,39.1
WR-II,13,Female,243.6,250.3,200.1,55.1,85.1,40.3
WR-II,14,Female,190.7,205.6,170.3,40.5,44.3,46.7
WR-II,15,Male,380.6,290.3,245.6,59.4,86.3,51.3
WR-II,16,Female,266.7,223.5,175.4,41,80.1,50.1
WR-II,17,Female,174.7,220.1,180.1,45.1,72.1,40.5
WR-II,18,Female,197.6,220.1,176.8,48.1,80.2,40.1
WR-II,19,Female,222.6,222.8,179.1,42.8,80.1,50.1
WR-II,20,Female,436.6,290.8,235.5,56.3,100.9,60.5
WR-II,21,Female,231.6,230.8,190.5,45.3,80.3,40.7
WR-II,22,Female,169.5,200.9,165.5,45.3,76.8,40.9
WR-II,23,Female,214.8,230.7,190.1,46.4,80.5,40.8
WR-II,24,Female,205,218.2,180.1,44.5,74.5,44.1
WR-II,25,Female,172.1,224.1,175.1,50.8,76.4,35.2
WR-II,26,Female,159.5,221.8,176.2,42.5,73.7,38.1
WR-II,27,Female,403.1,260.5,250.3,53.5,96.74,58.1
WR-II,28,Male,191.5,218.3,185.3,45.1,45.3,33.5
WR-II,29,Female,234.9,215.7,176.3,40.1,90.1,40.1
WR-II,30,Male,182.4,224.3,186.1,46.2,70.3,30.9
WR-II,31,Female,189.9,210.3,176.7,48.5,46.3,40.1
WR-II,32,Female,408.3,285.5,230.9,63.7,101.8,50.3
WR-II,33,Female,457.3,300.1,250.8,66.7,105.8,55.1
WR-II,34,Male,481.3,301.5,250.9,66.8,100.3,55
WR-II,35,Female,222.8,221.9,174.9,46.8,82.3,39.1
WR-II,36,Female,178.3,223.1,175.1,46.3,74.2,38.1
WR-II,37,Female,174.9,205.3,165.1,40.8,75.8,36.1
WR-II,38,Female,226.6,230.1,190.6,50.1,76.1,37.2
WR-II,39,Female,313.7,236.1,198.1,50.8,90.8,50.1
WR-II,40,Female,262.8,253.1,195.2,50.6,80.7,46.3
WR-II,41,Female,182.3,211.8,176.5,48.5,75.3,37.8
WR-II,42,Female,134.3,189.1,153.1,44.7,66.5,34.7
WR-II,43,Female,191.5,224.8,185.5,46.3,46.5,38.1
WR-II,44,Female,517.2,301.8,235.8,54.8,102.7,76.5
WR-II,45,Male,440.3,287.6,224.7,60.7,106.8,50.4
WR-II,46,Female,287.1,254.7,204.8,42.8,89.7,42.1
WR-II,47,Female,151.6,210.4,173.2,45.8,70.4,34.5
WR-II,48,Female,247.9,245.5,198.7,50.7,82.4,45.1
WR-II,49,Female,225.6,223.1,185.7,48.6,48.1,43.5
WR-II,50,Female,250,227.1,190.2,47.8,86.1,43.1
WR-II,51,Female,257.7,230.1,184.2,48.6,83.2,43.8
WR-II,52,Male,180.6,225.3,180.2,43.4,44.1,43.8
WR-II,53,Female,181.7,230.1,174.2,47.4,78.2,39.7
WR-II,54,Female,251.9,228.4,185.4,49.3,80.7,44.1
WR-II,55,Female,251.2,225.3,185.8,46.7,80.3,48.1
WR-II,56,Female,256.4,243.5,187.5,50.3,84.7,49.4
WR-II,57,Male,173.3,210.1,170.4,43.5,70.1,35.8
WR-II,58,Female,297.3,266.1,208.5,53.4,82.3,40.9
WR-II,59,Female,166.2,210.8,166.1,48.2,75.1,37.1
WR-II,60,Female,300.4,243.1,205.6,55.1,90.8,50.1
WR-II,61,Female,208.7,223.1,180.1,43.5,76.1,43.9
WR-II,62,Female,195.8,236.1,190.8,49.5,75.2,35.1
WR-II,63,Female,286.5,265.1,215.3,59.2,90.8,43.2
WR-II,64,Female,336,280.3,225.7,56.7,90.1,48.7
WR-II,65,Female,241.6,245.1,183.7,59.3,82.3,40.7
WR-II,66,Female,240.5,240.3,190.1,50.6,86.7,43.5
WR-II,67,Female,330.2,246.4,200.8,50.9,90.1,55.6
